Name,Tm,HR,name
Aaron Judge,New York,3,Drake
Eugenio Su\xc3\xa1rez,Arizona,3,Drake
James Wood,Washington,1,Drake
Jo Adell,Los Angeles,0,Drake
Ketel Marte,Arizona,0,Drake
Christian Yelich,Milwaukee,2,Drake
Elly De La Cruz,Cincinnati,0,Drake
Will Smith,Los Angeles,0,Drake
Freddie Freeman,Los Angeles,0,Drake
Wilyer Abreu,Boston,1,Drake
Matt Olson,Atlanta,0,Paul
Jazz Chisholm Jr.,New York,2,Paul
Junior Caminero,Tampa Bay,2,Paul
Bobby Witt Jr.,Kansas City,3,Paul
Cal Raleigh,Seattle,3,Paul
Corbin Carroll,Arizona,1,Paul
Kyle Stowers,Miami,3,Paul
Teoscar Hern\xc3\xa1ndez,Los Angeles,0,Paul
Rafael Devers,San Francisco,0,Paul
George Springer,Toronto,0,Paul
Kyle Schwarber,Philadelphia,3,Nick
Pete Alonso,New York,1,Nick
Mookie Betts,Los Angeles,0,Nick
Brent Rooker,Athletics,2,Nick
Jos\xc3\xa9 Ram\xc3\xadrez,Cleveland,4,Nick
Gleyber Torres,Detroit,0,Nick
J.T. Realmuto,Philadelphia,0,Nick
Harrison Bader,Minnesota,2,Nick
Bryce Harper,Philadelphia,1,Nick
inactive,inactive,0,Nick
Shohei Ohtani,Los Angeles,2,Ty
Juan Soto,New York,2,Ty
Michael Busch,Chicago,1,Ty
Byron Buxton,Minnesota,2,Ty
Manny Machado,San Diego,3,Ty
Brandon Nimmo,New York,0,Ty
Hunter Goodman,Colorado,1,Ty
Trevor Story,Boston,2,Ty
Jose Altuve,Houston,2,Ty
inactive,inactive,0,Ty
Pete Crow-Armstrong,Chicago,2,Trey
Seiya Suzuki,Chicago,1,Trey
Riley Greene,Detroit,3,Trey
Spencer Torkelson,Detroit,1,Trey
Francisco Lindor,New York,2,Trey
Brandon Lowe,Tampa Bay,0,Trey
Kyle Tucker,Chicago,0,Trey
Austin Wells,New York,2,Trey
Isaac Paredes,Houston,1,Trey
Cody Bellinger,New York,3,Trey
